page,table,zone,service_type,package_type,weight_range,rate_usd
33,1,2-3,FedEx First Overnight®,Express Multiweight,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",11.97
33,1,2-3,FedEx Priority Overnight®,Express Multiweight,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",11.66
33,1,2-3,FedEx Standard Overnight®,Express Multiweight,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",10.97
33,1,2-3,FedEx 2Day® A.M.,Express Multiweight,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",9.75
33,1,2-3,FedEx 2Day®,Express Multiweight,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",8.55
33,1,2-3,FedEx Express Saver®,Express Multiweight,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",7.26
33,2,4-5,FedEx First Overnight®,Express Multiweight,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",13.32
33,2,4-5,FedEx Priority Overnight®,Express Multiweight,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",13.01
33,2,4-5,FedEx Standard Overnight® 2,Express Multiweight,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",11.76
33,2,4-5,FedEx 2Day® A.M.3,Express Multiweight,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",10.04
33,2,4-5,FedEx 2Day®,Express Multiweight,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",8.73
33,3,6-7,FedEx First Overnight®,Express Multiweight,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs.",13.59
33,3,6-7,FedEx Priority Overnight®,Express Multiweight,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs.",13.28
33,3,6-7,FedEx 2Day®,Express Multiweight,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs.",8.92
33,3,6-7,FedEx First Overnight®,Express Multiweight,"2,000+ lbs.",13.53
33,3,6-7,FedEx Priority Overnight®,Express Multiweight,"2,000+ lbs.",13.22
33,3,6-7,FedEx 2Day®,Express Multiweight,"2,000+ lbs.",8.86
33,4,8,FedEx First Overnight®,Express Multiweight,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",8.74
33,4,8,FedEx Priority Overnight®,Express Multiweight,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",8.43
33,4,8,FedEx Standard Overnight®,Express Multiweight,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",6.98
33,4,8,FedEx 2Day® A.M.,Express Multiweight,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",4.99
33,4,8,FedEx 2Day®,Express Multiweight,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",3.88
33,5,Express-Special,FedEx First Overnight®,Express Multiweight,100–150 lbs. 151+ lbs.,0.62
33,5,Express-Special,FedEx Priority Overnight®,Express Multiweight,100–150 lbs. 151+ lbs.,0.31
