page,table,zone,service_type,package_type,weight_range,rate_usd
2,1,2,FedEx® Envelope,Package,up to 8 oz.,8.0
2,1,2,FedEx First Overnight®,Package,up to 8 oz.,65.71
2,1,2,FedEx Priority Overnight®,Package,up to 8 oz.,34.71
2,1,2,FedEx Standard Overnight®,Package,up to 8 oz.,33.3
2,1,2,FedEx 2Day® A.M.,Package,up to 8 oz.,27.21
2,1,2,FedEx 2Day®,Package,up to 8 oz.,25.23
2,1,2,FedEx Express Saver®,Package,up to 8 oz.,22.95
2,1,2,FedEx First Overnight®,Package,1-50 lbs,73.31
2,1,2,FedEx First Overnight®,Package,51-100 lbs,73.87
2,1,2,FedEx First Overnight®,Package,101-150 lbs,77.77
2,1,2,FedEx Priority Overnight®,Package,1-50 lbs,42.31
2,1,2,FedEx Priority Overnight®,Package,51-100 lbs,42.87
2,1,2,FedEx Priority Overnight®,Package,101-150 lbs,46.77
2,1,2,FedEx Standard Overnight®,Package,1-50 lbs,38.55
2,1,2,FedEx Standard Overnight®,Package,51-100 lbs,41.12
2,1,2,FedEx Standard Overnight®,Package,101-150 lbs,44.68
2,1,2,FedEx 2Day® A.M.,Package,1-50 lbs,28.72
2,1,2,FedEx 2Day® A.M.,Package,51-100 lbs,29.22
2,1,2,FedEx 2Day® A.M.,Package,101-150 lbs,29.71
2,1,2,FedEx 2Day®,Package,1-50 lbs,25.23
2,1,2,FedEx 2Day®,Package,51-100 lbs,26.26
2,1,2,FedEx 2Day®,Package,101-150 lbs,26.68
2,1,2,FedEx Express Saver®,Package,1-50 lbs,22.95
2,1,2,FedEx Express Saver®,Package,51-100 lbs,23.38
2,1,2,FedEx Express Saver®,Package,101-150 lbs,24.83
3,1,2,FedEx First Overnight®,Package,1-50 lbs,189.62
3,1,2,FedEx First Overnight®,Package,51-100 lbs,207.51
3,1,2,FedEx First Overnight®,Package,101-150 lbs,210.19
3,1,2,FedEx Priority Overnight®,Package,1-50 lbs,158.62
3,1,2,FedEx Priority Overnight®,Package,51-100 lbs,176.51
3,1,2,FedEx Priority Overnight®,Package,101-150 lbs,179.19
3,1,2,FedEx Standard Overnight®,Package,1-50 lbs,149.32
3,1,2,FedEx Standard Overnight®,Package,51-100 lbs,151.44
3,1,2,FedEx Standard Overnight®,Package,101-150 lbs,154.48
3,1,2,FedEx 2Day® A.M.,Package,1-50 lbs,122.81
3,1,2,FedEx 2Day® A.M.,Package,51-100 lbs,129.81
3,1,2,FedEx 2Day® A.M.,Package,101-150 lbs,138.69
3,1,2,FedEx 2Day®,Package,1-50 lbs,103.46
3,1,2,FedEx 2Day®,Package,51-100 lbs,104.42
3,1,2,FedEx 2Day®,Package,101-150 lbs,111.79
3,1,2,FedEx Express Saver®,Package,1-50 lbs,93.02
3,1,2,FedEx Express Saver®,Package,51-100 lbs,100.44
3,1,2,FedEx Express Saver®,Package,101-150 lbs,102.74
4,1,2,FedEx First Overnight®,Package,1-50 lbs,323.2
4,1,2,FedEx First Overnight®,Package,51-100 lbs,326.4
4,1,2,FedEx First Overnight®,Package,101-150 lbs,329.6
4,1,2,FedEx Priority Overnight®,Package,1-50 lbs,291.89
4,1,2,FedEx Priority Overnight®,Package,51-100 lbs,294.78
4,1,2,FedEx Priority Overnight®,Package,101-150 lbs,297.67
4,1,2,FedEx Standard Overnight®,Package,1-50 lbs,285.83
4,1,2,FedEx Standard Overnight®,Package,51-100 lbs,288.66
4,1,2,FedEx Standard Overnight®,Package,101-150 lbs,291.49
4,1,2,FedEx 2Day® A.M.,Package,1-50 lbs,242.4
4,1,2,FedEx 2Day® A.M.,Package,51-100 lbs,244.8
4,1,2,FedEx 2Day® A.M.,Package,101-150 lbs,247.2
4,1,2,FedEx 2Day®,Package,1-50 lbs,192.91
4,1,2,FedEx 2Day®,Package,51-100 lbs,194.82
4,1,2,FedEx 2Day®,Package,101-150 lbs,196.73
4,1,2,FedEx Express Saver®,Package,1-50 lbs,179.78
4,1,2,FedEx Express Saver®,Package,51-100 lbs,181.56
4,1,2,FedEx Express Saver®,Package,101-150 lbs,183.34
5,1,3,FedEx® Envelope,Package,up to 8 oz.,8.0
5,1,3,FedEx First Overnight®,Package,up to 8 oz.,72.68
5,1,3,FedEx Priority Overnight®,Package,up to 8 oz.,41.68
5,1,3,FedEx Standard Overnight®,Package,up to 8 oz.,40.44
5,1,3,FedEx 2Day® A.M.,Package,up to 8 oz.,29.48
5,1,3,FedEx 2Day®,Package,up to 8 oz.,26.3
5,1,3,FedEx Express Saver®,Package,up to 8 oz.,23.42
5,1,3,FedEx First Overnight®,Package,1-50 lbs,93.71
5,1,3,FedEx First Overnight®,Package,51-100 lbs,94.09
5,1,3,FedEx First Overnight®,Package,101-150 lbs,100.97
5,1,3,FedEx Priority Overnight®,Package,1-50 lbs,62.71
5,1,3,FedEx Priority Overnight®,Package,51-100 lbs,63.09
5,1,3,FedEx Priority Overnight®,Package,101-150 lbs,69.97
5,1,3,FedEx Standard Overnight®,Package,1-50 lbs,53.04
5,1,3,FedEx Standard Overnight®,Package,51-100 lbs,56.76
5,1,3,FedEx Standard Overnight®,Package,101-150 lbs,60.03
5,1,3,FedEx 2Day® A.M.,Package,1-50 lbs,31.15
5,1,3,FedEx 2Day® A.M.,Package,51-100 lbs,31.77
5,1,3,FedEx 2Day® A.M.,Package,101-150 lbs,32.81
5,1,3,FedEx 2Day®,Package,1-50 lbs,26.3
5,1,3,FedEx 2Day®,Package,51-100 lbs,27.59
5,1,3,FedEx 2Day®,Package,101-150 lbs,28.48
5,1,3,FedEx Express Saver®,Package,1-50 lbs,23.42
5,1,3,FedEx Express Saver®,Package,51-100 lbs,23.86
5,1,3,FedEx Express Saver®,Package,101-150 lbs,26.49
6,1,3,FedEx First Overnight®,Package,1-50 lbs,257.38
6,1,3,FedEx First Overnight®,Package,51-100 lbs,282.59
6,1,3,FedEx First Overnight®,Package,101-150 lbs,295.76
6,1,3,FedEx Priority Overnight®,Package,1-50 lbs,226.38
6,1,3,FedEx Priority Overnight®,Package,51-100 lbs,251.59
6,1,3,FedEx Priority Overnight®,Package,101-150 lbs,264.76
6,1,3,FedEx Standard Overnight®,Package,1-50 lbs,214.39
6,1,3,FedEx Standard Overnight®,Package,51-100 lbs,214.79
6,1,3,FedEx Standard Overnight®,Package,101-150 lbs,222.01
6,1,3,FedEx 2Day® A.M.,Package,1-50 lbs,167.61
6,1,3,FedEx 2Day® A.M.,Package,51-100 lbs,169.92
6,1,3,FedEx 2Day® A.M.,Package,101-150 lbs,176.09
6,1,3,FedEx 2Day®,Package,1-50 lbs,126.66
6,1,3,FedEx 2Day®,Package,51-100 lbs,127.21
6,1,3,FedEx 2Day®,Package,101-150 lbs,134.04
6,1,3,FedEx Express Saver®,Package,1-50 lbs,110.88
6,1,3,FedEx Express Saver®,Package,51-100 lbs,121.15
6,1,3,FedEx Express Saver®,Package,101-150 lbs,122.84
7,1,3,FedEx First Overnight®,Package,1-50 lbs,439.35
7,1,3,FedEx First Overnight®,Package,51-100 lbs,443.7
7,1,3,FedEx First Overnight®,Package,101-150 lbs,448.05
7,1,3,FedEx Priority Overnight®,Package,1-50 lbs,408.04
7,1,3,FedEx Priority Overnight®,Package,51-100 lbs,412.08
7,1,3,FedEx Priority Overnight®,Package,101-150 lbs,416.12
7,1,3,FedEx Standard Overnight®,Package,1-50 lbs,399.96
7,1,3,FedEx Standard Overnight®,Package,51-100 lbs,403.92
7,1,3,FedEx Standard Overnight®,Package,101-150 lbs,407.88
7,1,3,FedEx 2Day® A.M.,Package,1-50 lbs,304.01
7,1,3,FedEx 2Day® A.M.,Package,51-100 lbs,307.02
7,1,3,FedEx 2Day® A.M.,Package,101-150 lbs,310.03
7,1,3,FedEx 2Day®,Package,1-50 lbs,241.39
7,1,3,FedEx 2Day®,Package,51-100 lbs,243.78
7,1,3,FedEx 2Day®,Package,101-150 lbs,246.17
7,1,3,FedEx Express Saver®,Package,1-50 lbs,231.29
7,1,3,FedEx Express Saver®,Package,51-100 lbs,233.58
7,1,3,FedEx Express Saver®,Package,101-150 lbs,235.87
8,1,4,FedEx® Envelope,Package,up to 8 oz.,8.0
8,1,4,FedEx First Overnight®,Package,up to 8 oz.,83.52
8,1,4,FedEx Priority Overnight®,Package,up to 8 oz.,52.52
8,1,4,FedEx Standard Overnight®,Package,up to 8 oz.,49.82
8,1,4,FedEx 2Day® A.M.,Package,up to 8 oz.,31.06
8,1,4,FedEx 2Day®,Package,up to 8 oz.,27.42
8,1,4,FedEx Express Saver®,Package,up to 8 oz.,23.9
8,1,4,FedEx First Overnight®,Package,1-50 lbs,111.4
8,1,4,FedEx First Overnight®,Package,51-100 lbs,118.79
8,1,4,FedEx First Overnight®,Package,101-150 lbs,128.23
8,1,4,FedEx Priority Overnight®,Package,1-50 lbs,80.4
8,1,4,FedEx Priority Overnight®,Package,51-100 lbs,87.79
8,1,4,FedEx Priority Overnight®,Package,101-150 lbs,97.23
8,1,4,FedEx Standard Overnight®,Package,1-50 lbs,69.96
8,1,4,FedEx Standard Overnight®,Package,51-100 lbs,80.46
8,1,4,FedEx Standard Overnight®,Package,101-150 lbs,89.23
8,1,4,FedEx 2Day® A.M.,Package,1-50 lbs,34.13
8,1,4,FedEx 2Day® A.M.,Package,51-100 lbs,34.44
8,1,4,FedEx 2Day® A.M.,Package,101-150 lbs,36.47
8,1,4,FedEx 2Day®,Package,1-50 lbs,27.42
8,1,4,FedEx 2Day®,Package,51-100 lbs,28.48
8,1,4,FedEx 2Day®,Package,101-150 lbs,30.16
8,1,4,FedEx Express Saver®,Package,1-50 lbs,23.9
8,1,4,FedEx Express Saver®,Package,51-100 lbs,24.35
8,1,4,FedEx Express Saver®,Package,101-150 lbs,27.02
9,1,4,FedEx First Overnight®,Package,1-50 lbs,449.41
9,1,4,FedEx First Overnight®,Package,51-100 lbs,482.61
9,1,4,FedEx First Overnight®,Package,101-150 lbs,515.01
9,1,4,FedEx Priority Overnight®,Package,1-50 lbs,418.41
9,1,4,FedEx Priority Overnight®,Package,51-100 lbs,451.61
9,1,4,FedEx Priority Overnight®,Package,101-150 lbs,484.01
9,1,4,FedEx Standard Overnight®,Package,1-50 lbs,400.14
9,1,4,FedEx Standard Overnight®,Package,51-100 lbs,417.73
9,1,4,FedEx Standard Overnight®,Package,101-150 lbs,454.61
9,1,4,FedEx 2Day® A.M.,Package,1-50 lbs,211.28
9,1,4,FedEx 2Day® A.M.,Package,51-100 lbs,214.73
9,1,4,FedEx 2Day® A.M.,Package,101-150 lbs,219.59
9,1,4,FedEx 2Day®,Package,1-50 lbs,162.8
9,1,4,FedEx 2Day®,Package,51-100 lbs,166.41
