id,service,section,zone,weight_lb,base_rate,rate_type,pdf_page,table_index,row_id,col_id,original_cell_text,notes
1,ENVELOPE,US_PACKAGE,2,8,8,per_package,2,0,2,0,Weight: 'up to 8 oz.' | Rate: 'up to 8 oz.',Original service: FedEx® Envelope
2,FIRST_OVERNIGHT,US_PACKAGE,2,8,65.71,per_package,2,0,2,2,Weight: 'up to 8 oz.' | Rate: '$ 65.71',Original service: FedEx First Overnight®
3,PRIORITY_OVERNIGHT,US_PACKAGE,2,8,34.71,per_package,2,0,2,3,Weight: 'up to 8 oz.' | Rate: '$ 34.71',Original service: FedEx Priority Overnight®
4,STANDARD_OVERNIGHT,US_PACKAGE,2,8,33.30,per_package,2,0,2,4,Weight: 'up to 8 oz.' | Rate: '$ 33.30',Original service: FedEx Standard Overnight®
5,2DAY_AM,US_PACKAGE,2,8,27.21,per_package,2,0,2,5,Weight: 'up to 8 oz.' | Rate: '$ 27.21',Original service: FedEx 2Day® A.M.
6,2DAY,US_PACKAGE,2,8,25.23,per_package,2,0,2,6,Weight: 'up to 8 oz.' | Rate: '$ 25.23',Original service: FedEx 2Day®
7,EXPRESS_SAVER,US_PACKAGE,2,8,22.95,per_package,2,0,2,7,Weight: 'up to 8 oz.' | Rate: '$ 22.95',Original service: FedEx Express Saver®
8,FIRST_OVERNIGHT,US_PACKAGE,2,11,73.31,per_package,2,0,5,2,Weight: '.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS' | Rate: '$ 73.31 73.87 77.77 82.02 82.45',Inferred weight. Original service: FedEx First Overnight®
9,FIRST_OVERNIGHT,US_PACKAGE,2,12,73.87,per_package,2,0,5,2,Weight: '.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS' | Rate: '$ 73.31 73.87 77.77 82.02 82.45',Inferred weight. Original service: FedEx First Overnight®
10,FIRST_OVERNIGHT,US_PACKAGE,2,13,77.77,per_package,2,0,5,2,Weight: '.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS' | Rate: '$ 73.31 73.87 77.77 82.02 82.45',Inferred weight. Original service: FedEx First Overnight®
11,FIRST_OVERNIGHT,US_PACKAGE,2,14,82.02,per_package,2,0,5,2,Weight: '.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS' | Rate: '$ 73.31 73.87 77.77 82.02 82.45',Inferred weight. Original service: FedEx First Overnight®
12,FIRST_OVERNIGHT,US_PACKAGE,2,15,82.45,per_package,2,0,5,2,Weight: '.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS' | Rate: '$ 73.31 73.87 77.77 82.02 82.45',Inferred weight. Original service: FedEx First Overnight®
13,PRIORITY_OVERNIGHT,US_PACKAGE,2,11,42.31,per_package,2,0,5,3,Weight: '.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS' | Rate: '$ 42.31 42.87 46.77 51.02 51.45',Inferred weight. Original service: FedEx Priority Overnight®
14,PRIORITY_OVERNIGHT,US_PACKAGE,2,12,42.87,per_package,2,0,5,3,Weight: '.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS' | Rate: '$ 42.31 42.87 46.77 51.02 51.45',Inferred weight. Original service: FedEx Priority Overnight®
15,PRIORITY_OVERNIGHT,US_PACKAGE,2,13,46.77,per_package,2,0,5,3,Weight: '.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS' | Rate: '$ 42.31 42.87 46.77 51.02 51.45',Inferred weight. Original service: FedEx Priority Overnight®
16,PRIORITY_OVERNIGHT,US_PACKAGE,2,14,51.02,per_package,2,0,5,3,Weight: '.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS' | Rate: '$ 42.31 42.87 46.77 51.02 51.45',Inferred weight. Original service: FedEx Priority Overnight®
17,PRIORITY_OVERNIGHT,US_PACKAGE,2,15,51.45,per_package,2,0,5,3,Weight: '.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS' | Rate: '$ 42.31 42.87 46.77 51.02 51.45',Inferred weight. Original service: FedEx Priority Overnight®
