page,table,zone,service_type,package_type,weight_range,rate_usd
108,1,2,FedEx Ground/Home Delivery,Package,1-50 lbs,70.88
108,1,2,FedEx Ground/Home Delivery,Package,51-100 lbs,70.88
108,1,2,FedEx Ground/Home Delivery,Package,101-150 lbs,70.88
108,1,3,FedEx Ground/Home Delivery,Package,1-50 lbs,71.72
108,1,3,FedEx Ground/Home Delivery,Package,51-100 lbs,71.72
108,1,3,FedEx Ground/Home Delivery,Package,101-150 lbs,71.72
108,1,4,FedEx Ground/Home Delivery,Package,1-50 lbs,77.83
108,1,4,FedEx Ground/Home Delivery,Package,51-100 lbs,77.83
108,1,4,FedEx Ground/Home Delivery,Package,101-150 lbs,77.83
108,1,5,FedEx Ground/Home Delivery,Package,1-50 lbs,85.13
108,1,5,FedEx Ground/Home Delivery,Package,51-100 lbs,85.13
108,1,5,FedEx Ground/Home Delivery,Package,101-150 lbs,85.13
108,1,6,FedEx Ground/Home Delivery,Package,1-50 lbs,100.21
108,1,6,FedEx Ground/Home Delivery,Package,51-100 lbs,100.21
108,1,6,FedEx Ground/Home Delivery,Package,101-150 lbs,100.21
108,1,7,FedEx Ground/Home Delivery,Package,1-50 lbs,111.01
108,1,7,FedEx Ground/Home Delivery,Package,51-100 lbs,111.01
108,1,7,FedEx Ground/Home Delivery,Package,101-150 lbs,111.01
109,1,17,FedEx Ground/Home Delivery,Package,1-50 lbs,40.84
109,1,17,FedEx Ground/Home Delivery,Package,51-100 lbs,40.84
109,1,17,FedEx Ground/Home Delivery,Package,101-150 lbs,40.84
109,1,22,FedEx Ground/Home Delivery,Package,1-50 lbs,9.53
109,1,22,FedEx Ground/Home Delivery,Package,51-100 lbs,9.53
109,1,22,FedEx Ground/Home Delivery,Package,101-150 lbs,9.53
109,1,23,FedEx Ground/Home Delivery,Package,1-50 lbs,14.22
109,1,23,FedEx Ground/Home Delivery,Package,51-100 lbs,14.22
109,1,23,FedEx Ground/Home Delivery,Package,101-150 lbs,14.22
109,1,25,FedEx Ground/Home Delivery,Package,1-50 lbs,14.68
109,1,25,FedEx Ground/Home Delivery,Package,51-100 lbs,14.68
109,1,25,FedEx Ground/Home Delivery,Package,101-150 lbs,14.68
109,1,9,FedEx Ground/Home Delivery,Package,1-50 lbs,40.84
109,1,9,FedEx Ground/Home Delivery,Package,51-100 lbs,40.84
109,1,9,FedEx Ground/Home Delivery,Package,101-150 lbs,40.84
109,1,14,FedEx Ground/Home Delivery,Package,1-50 lbs,9.3
109,1,14,FedEx Ground/Home Delivery,Package,51-100 lbs,9.3
109,1,14,FedEx Ground/Home Delivery,Package,101-150 lbs,9.3
110,1,17,FedEx Ground/Home Delivery,Package,1-50 lbs,235.5
110,1,17,FedEx Ground/Home Delivery,Package,51-100 lbs,235.5
110,1,17,FedEx Ground/Home Delivery,Package,101-150 lbs,235.5
110,1,22,FedEx Ground/Home Delivery,Package,1-50 lbs,28.63
110,1,22,FedEx Ground/Home Delivery,Package,51-100 lbs,28.63
110,1,22,FedEx Ground/Home Delivery,Package,101-150 lbs,28.63
110,1,23,FedEx Ground/Home Delivery,Package,1-50 lbs,121.84
110,1,23,FedEx Ground/Home Delivery,Package,51-100 lbs,121.84
110,1,23,FedEx Ground/Home Delivery,Package,101-150 lbs,121.84
110,1,25,FedEx Ground/Home Delivery,Package,1-50 lbs,138.94
110,1,25,FedEx Ground/Home Delivery,Package,51-100 lbs,138.94
110,1,25,FedEx Ground/Home Delivery,Package,101-150 lbs,138.94
110,1,9,FedEx Ground/Home Delivery,Package,1-50 lbs,235.5
110,1,9,FedEx Ground/Home Delivery,Package,51-100 lbs,235.5
110,1,9,FedEx Ground/Home Delivery,Package,101-150 lbs,235.5
110,1,14,FedEx Ground/Home Delivery,Package,1-50 lbs,16.36
110,1,14,FedEx Ground/Home Delivery,Package,51-100 lbs,16.36
110,1,14,FedEx Ground/Home Delivery,Package,101-150 lbs,16.36
