page,table,zone,service_type,package_type,weight_range,rate_usd
111,1,17,FedEx Ground/Home Delivery,Package,1-50 lbs,416.25
111,1,17,FedEx Ground/Home Delivery,Package,51-100 lbs,416.25
111,1,17,FedEx Ground/Home Delivery,Package,101-150 lbs,416.25
111,1,22,FedEx Ground/Home Delivery,Package,1-50 lbs,76.81
111,1,22,FedEx Ground/Home Delivery,Package,51-100 lbs,76.81
111,1,22,FedEx Ground/Home Delivery,Package,101-150 lbs,76.81
111,1,23,FedEx Ground/Home Delivery,Package,1-50 lbs,187.1
111,1,23,FedEx Ground/Home Delivery,Package,51-100 lbs,187.1
111,1,23,FedEx Ground/Home Delivery,Package,101-150 lbs,187.1
111,1,25,FedEx Ground/Home Delivery,Package,1-50 lbs,208.46
111,1,25,FedEx Ground/Home Delivery,Package,51-100 lbs,208.46
111,1,25,FedEx Ground/Home Delivery,Package,101-150 lbs,208.46
111,1,9,FedEx Ground/Home Delivery,Package,1-50 lbs,416.25
111,1,9,FedEx Ground/Home Delivery,Package,51-100 lbs,416.25
111,1,9,FedEx Ground/Home Delivery,Package,101-150 lbs,416.25
111,1,14,FedEx Ground/Home Delivery,Package,1-50 lbs,58.89
111,1,14,FedEx Ground/Home Delivery,Package,51-100 lbs,58.89
111,1,14,FedEx Ground/Home Delivery,Package,101-150 lbs,58.89
