page,table,zone,service_type,package_type,weight_range,rate_usd
107,1,2,FedEx Ground/Home Delivery,Package,1-50 lbs,27.68
107,1,2,FedEx Ground/Home Delivery,Package,51-100 lbs,27.68
107,1,2,FedEx Ground/Home Delivery,Package,101-150 lbs,27.68
107,1,3,FedEx Ground/Home Delivery,Package,1-50 lbs,34.62
107,1,3,FedEx Ground/Home Delivery,Package,51-100 lbs,34.62
107,1,3,FedEx Ground/Home Delivery,Package,101-150 lbs,34.62
107,1,4,FedEx Ground/Home Delivery,Package,1-50 lbs,41.62
107,1,4,FedEx Ground/Home Delivery,Package,51-100 lbs,41.62
107,1,4,FedEx Ground/Home Delivery,Package,101-150 lbs,41.62
107,1,5,FedEx Ground/Home Delivery,Package,1-50 lbs,50.48
107,1,5,FedEx Ground/Home Delivery,Package,51-100 lbs,50.48
107,1,5,FedEx Ground/Home Delivery,Package,101-150 lbs,50.48
107,1,6,FedEx Ground/Home Delivery,Package,1-50 lbs,64.09
107,1,6,FedEx Ground/Home Delivery,Package,51-100 lbs,64.09
107,1,6,FedEx Ground/Home Delivery,Package,101-150 lbs,64.09
107,1,7,FedEx Ground/Home Delivery,Package,1-50 lbs,77.42
107,1,7,FedEx Ground/Home Delivery,Package,51-100 lbs,77.42
107,1,7,FedEx Ground/Home Delivery,Package,101-150 lbs,77.42
