page,table,zone,service_type,package_type,weight_range,rate_usd
32,1,2,FedEx First Overnight®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",3.2
32,1,2,FedEx Priority Overnight®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",2.89
32,1,2,FedEx Standard Overnight®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",2.83
32,1,2,FedEx 2Day® A.M.,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",2.4
32,1,2,FedEx 2Day®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",1.91
32,1,2,FedEx Express Saver®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",1.78
32,2,3,FedEx First Overnight®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",4.35
32,2,3,FedEx Priority Overnight®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",4.04
32,2,3,FedEx Standard Overnight®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",3.96
32,2,3,FedEx 2Day® A.M.,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",3.01
32,2,3,FedEx 2Day®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",2.39
32,2,3,FedEx Express Saver®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",2.29
32,3,4,FedEx First Overnight®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",7.65
32,3,4,FedEx Priority Overnight®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",7.34
32,3,4,FedEx Standard Overnight®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",7.19
32,3,4,FedEx 2Day® A.M.,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",3.95
32,3,4,FedEx 2Day®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",3.08
32,3,4,FedEx Express Saver®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",2.94
32,4,5,FedEx First Overnight®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",9.07
32,4,5,FedEx Priority Overnight®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",8.76
32,4,5,FedEx Standard Overnight®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",8.58
32,4,5,FedEx 2Day® A.M.,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",5.86
32,4,5,FedEx 2Day®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",4.58
32,4,5,FedEx Express Saver®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",4.06
32,5,6,FedEx First Overnight®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",9.25
32,5,6,FedEx Priority Overnight®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",8.94
32,5,6,FedEx Standard Overnight®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",8.76
32,5,6,FedEx 2Day® A.M.,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",8.71
32,5,6,FedEx 2Day®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",7.27
32,5,6,FedEx Express Saver®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",5.68
32,6,7,FedEx First Overnight®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",11.26
32,6,7,FedEx Priority Overnight®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",10.95
32,6,7,FedEx Standard Overnight®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",10.52
32,6,7,FedEx 2Day® A.M.,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",9.47
32,6,7,FedEx 2Day®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",8.3
32,6,7,FedEx Express Saver®,Multiweight Package,"100–499 lbs. 500–999 lbs. 1,000–1,999 lbs. 2,000+ lbs.",6.39
