weight_raw,zone_raw,base_rate_raw,base_rate_clean,base_rate,weight_lb,pdf_page,table_index
FedEx® Envelope,col_1,,,,,5,1
up to 8 oz.,col_1,,,,8.0,5,1
FedEx® Pak,col_1,,,,,5,1
Fed,col_1,,,,,5,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,col_1,"1lb.
2 lbs.
3
4
5",1.2.345,,,5,1
nan,col_1,"6
7
8
9
10",678910,678910.0,,5,1
nan,col_1,"11
12
13
14
15",1112131415,1112131415.0,,5,1
nan,col_1,"16
17
18
19
20",1617181920,1617181920.0,,5,1
nan,col_1,"21
22
23
24
25",2122232425,2122232425.0,,5,1
nan,col_1,"26
27
28
29
30",2627282930,2627282930.0,,5,1
nan,col_1,"31
32
33
34
35",3132333435,3132333435.0,,5,1
nan,col_1,"36
37
38
39
40",3637383940,3637383940.0,,5,1
nan,col_1,"41
42
43
44
45",4142434445,4142434445.0,,5,1
nan,col_1,"46
47
48
49",46474849,46474849.0,,5,1
FedEx® Envelope,Next day by 8 or 8:30 a.m.4,"FedEx
First
Overnight®",,,,5,1
up to 8 oz.,Next day by 8 or 8:30 a.m.4,$ 72.68,72.68,72.68,8.0,5,1
FedEx® Pak,Next day by 8 or 8:30 a.m.4,*,,,,5,1
Fed,Next day by 8 or 8:30 a.m.4,,,,,5,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,Next day by 8 or 8:30 a.m.4,"$ 93.71
94.09
100.97
102.44
102.87",93.7194.09100.97102.44102.87,,,5,1
nan,Next day by 8 or 8:30 a.m.4,"111.39
115.59
116.01
116.59
117.71",111.39115.59116.01116.59117.71,,,5,1
nan,Next day by 8 or 8:30 a.m.4,"133.10
136.48
137.52
138.80
139.46",133.10136.48137.52138.80139.46,,,5,1
nan,Next day by 8 or 8:30 a.m.4,"152.44
153.74
154.41
154.68
155.22",152.44153.74154.41154.68155.22,,,5,1
nan,Next day by 8 or 8:30 a.m.4,"160.90
168.09
168.83
169.40
169.97",160.90168.09168.83169.40169.97,,,5,1
nan,Next day by 8 or 8:30 a.m.4,"181.00
182.12
182.64
183.41
183.70",181.00182.12182.64183.41183.70,,,5,1
nan,Next day by 8 or 8:30 a.m.4,"187.99
191.76
200.81
201.73
202.23",187.99191.76200.81201.73202.23,,,5,1
nan,Next day by 8 or 8:30 a.m.4,"205.59
217.30
218.48
218.97
219.47",205.59217.30218.48218.97219.47,,,5,1
nan,Next day by 8 or 8:30 a.m.4,"228.43
229.34
232.51
243.07
251.31",228.43229.34232.51243.07251.31,,,5,1
nan,Next day by 8 or 8:30 a.m.4,"252.16
255.37
255.84
256.11",252.16255.37255.84256.11,,,5,1
FedEx® Envelope,Next day by 10:30 a.m. or 11 a.m. 5,"FedEx
Priority
Overnight®",,,,5,1
up to 8 oz.,Next day by 10:30 a.m. or 11 a.m. 5,$ 41.68,41.68,41.68,8.0,5,1
FedEx® Pak,Next day by 10:30 a.m. or 11 a.m. 5,*,,,,5,1
Fed,Next day by 10:30 a.m. or 11 a.m. 5,,,,,5,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,Next day by 10:30 a.m. or 11 a.m. 5,"$ 62.71
63.09
69.97
71.44
71.87",62.7163.0969.9771.4471.87,,,5,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"80.39
84.59
85.01
85.59
86.71",80.3984.5985.0185.5986.71,,,5,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"102.10
105.48
106.52
107.80
108.46",102.10105.48106.52107.80108.46,,,5,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"121.44
122.74
123.41
123.68
124.22",121.44122.74123.41123.68124.22,,,5,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"129.90
137.09
137.83
138.40
138.97",129.90137.09137.83138.40138.97,,,5,1
