page,table_index,rows,cols,csv_path,method
2,1,14,8,extracted/raw/page_2_table_1.csv,pdfplumber
3,1,12,8,extracted/raw/page_3_table_1.csv,pdfplumber
4,1,11,8,extracted/raw/page_4_table_1.csv,pdfplumber
5,1,14,8,extracted/raw/page_5_table_1.csv,pdfplumber
6,1,12,8,extracted/raw/page_6_table_1.csv,pdfplumber
7,1,11,8,extracted/raw/page_7_table_1.csv,pdfplumber
8,1,14,8,extracted/raw/page_8_table_1.csv,pdfplumber
9,1,12,8,extracted/raw/page_9_table_1.csv,pdfplumber
10,1,11,8,extracted/raw/page_10_table_1.csv,pdfplumber
11,1,14,8,extracted/raw/page_11_table_1.csv,pdfplumber
12,1,12,8,extracted/raw/page_12_table_1.csv,pdfplumber
13,1,11,8,extracted/raw/page_13_table_1.csv,pdfplumber
14,1,14,8,extracted/raw/page_14_table_1.csv,pdfplumber
15,1,12,8,extracted/raw/page_15_table_1.csv,pdfplumber
16,1,11,8,extracted/raw/page_16_table_1.csv,pdfplumber
17,1,14,8,extracted/raw/page_17_table_1.csv,pdfplumber
18,1,12,8,extracted/raw/page_18_table_1.csv,pdfplumber
19,1,11,8,extracted/raw/page_19_table_1.csv,pdfplumber
20,1,14,8,extracted/raw/page_20_table_1.csv,pdfplumber
21,1,12,8,extracted/raw/page_21_table_1.csv,pdfplumber
22,1,11,8,extracted/raw/page_22_table_1.csv,pdfplumber
