Delivery commitment3,col_1,Next day by 8 or 8:30 a.m.4,Next day by 10:30 a.m. or 11 a.m. 5,Next day by 5 p.m.6,2nd day by 10:30 a.m. or 11 a.m.5,2nd day by 5 p.m.6,3rd day by 5 p.m.6
"FedEx®
Envelope",,"FedEx
First
Overnight®","FedEx
Priority
Overnight®","FedEx
Standard
Overnight®","FedEx
2Day® A.M.","FedEx
2Day®","FedEx
Express
Saver®"
up to 8 oz.,,$ 94.70,$ 63.70,$ 59.82,$ 45.58,$ 42.67,$ 35.90
FedEx® Pak,,*,*,*,*,*,*
Fed,,,,,,,
".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS","1lb.
2 lbs.
3
4
5","$ 134.80
141.68
159.81
170.90
172.84","$ 103.80
110.68
128.81
139.90
141.84","$ 91.30
104.58
114.01
124.08
128.00","$ 49.62
57.18
66.21
77.04
85.81","$ 42.67
50.07
58.00
66.24
73.79","$ 35.90
40.00
44.76
51.17
56.49"
,"6
7
8
9
10","193.69
200.81
210.84
211.85
213.60","162.69
169.81
179.84
180.85
182.60","141.65
153.76
163.11
174.94
176.13","95.28
105.85
116.64
125.56
136.58","82.01
88.65
100.29
109.98
119.63","62.75
71.00
77.72
85.29
91.78"
,"11
12
13
14
15","248.53
253.10
272.81
274.79
276.05","217.53
222.10
241.81
243.79
245.05","198.60
209.41
220.50
230.12
237.74","141.06
159.94
164.66
174.76
181.08","128.23
132.09
144.23
149.91
158.49","98.42
104.65
105.29
110.68
120.92"
,"16
17
18
19
20","300.84
303.32
303.58
303.83
304.63","269.84
272.32
272.58
272.83
273.63","241.63
247.11
252.43
258.08
266.38","188.75
204.10
209.13
222.93
225.73","166.61
174.61
175.43
191.69
198.27","127.23
127.87
139.67
143.46
143.95"
,"21
22
23
24
25","320.29
334.57
351.17
357.63
358.47","289.29
303.57
320.17
326.63
327.47","276.19
295.93
299.15
303.06
306.58","234.43
243.07
255.74
265.74
270.10","205.08
212.92
219.91
222.90
236.57","153.43
154.39
167.17
168.46
178.77"
,"26
27
28
29
30","366.66
368.90
382.52
392.64
394.20","335.66
337.90
351.52
361.64
363.20","317.73
322.90
330.49
340.56
342.10","284.55
289.54
293.19
298.69
302.54","244.70
252.92
259.45
265.94
273.13","184.94
191.43
197.28
203.15
203.75"
,"31
32
33
34
35","406.63
408.44
430.63
439.07
442.88","375.63
377.44
399.63
408.07
411.88","354.46
356.26
375.00
386.82
394.22","318.24
319.83
328.34
349.63
351.87","279.04
286.79
293.39
300.68
307.30","209.09
210.59
216.04
221.12
226.70"
,"36
37
38
39
40","448.93
462.69
464.08
464.88
476.08","417.93
431.69
433.08
433.88
445.08","396.53
409.64
415.51
418.88
423.54","362.37
363.43
364.93
390.47
397.42","315.22
326.43
334.91
343.82
352.25","231.35
236.00
240.73
253.34
254.62"
,"41
42
43
44
45","482.39
484.08
506.16
513.87
521.69","451.39
453.08
475.16
482.87
490.69","429.81
431.48
453.44
461.09
473.22","420.31
430.68
436.03
437.09
450.02","361.44
370.35
377.22
383.63
390.81","254.91
260.27
266.07
271.74
277.41"
,"46
47
48
49","527.28
528.73
537.79
538.70","496.28
497.73
506.79
507.70","474.44
480.41
484.88
490.32","459.27
460.20
461.66
472.62","397.12
397.77
407.38
408.35","287.64
288.68
308.67
311.73"
