page,table,zone,service_type,package_type,weight_range,rate_usd
2,1,2,FedEx® Envelope,Package,up to 8 oz.,8.0
2,1,2,FedEx First Overnight®,Package,up to 8 oz.,65.71
2,1,2,FedEx Priority Overnight®,Package,up to 8 oz.,34.71
2,1,2,FedEx Standard Overnight®,Package,up to 8 oz.,33.3
2,1,2,FedEx 2Day® A.M.,Package,up to 8 oz.,27.21
2,1,2,FedEx 2Day®,Package,up to 8 oz.,25.23
2,1,2,FedEx Express Saver®,Package,up to 8 oz.,22.95
2,1,2,FedEx First Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",73.31
2,1,2,FedEx Priority Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",42.31
2,1,2,FedEx Standard Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",38.55
2,1,2,FedEx 2Day® A.M.,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",28.72
2,1,2,FedEx 2Day®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",25.23
2,1,2,FedEx Express Saver®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",22.95
3,1,2,FedEx First Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",189.62
3,1,2,FedEx Priority Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",158.62
3,1,2,FedEx Standard Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",149.32
3,1,2,FedEx 2Day® A.M.,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",122.81
3,1,2,FedEx 2Day®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",103.46
3,1,2,FedEx Express Saver®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",93.02
4,1,2,FedEx First Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",323.2
4,1,2,FedEx Priority Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",291.89
4,1,2,FedEx Standard Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",285.83
4,1,2,FedEx 2Day® A.M.,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",242.4
4,1,2,FedEx 2Day®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",192.91
4,1,2,FedEx Express Saver®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",179.78
5,1,3,FedEx® Envelope,Package,up to 8 oz.,8.0
5,1,3,FedEx First Overnight®,Package,up to 8 oz.,72.68
5,1,3,FedEx Priority Overnight®,Package,up to 8 oz.,41.68
5,1,3,FedEx Standard Overnight®,Package,up to 8 oz.,40.44
5,1,3,FedEx 2Day® A.M.,Package,up to 8 oz.,29.48
5,1,3,FedEx 2Day®,Package,up to 8 oz.,26.3
5,1,3,FedEx Express Saver®,Package,up to 8 oz.,23.42
5,1,3,FedEx First Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",93.71
5,1,3,FedEx Priority Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",62.71
5,1,3,FedEx Standard Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",53.04
5,1,3,FedEx 2Day® A.M.,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",31.15
5,1,3,FedEx 2Day®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",26.3
5,1,3,FedEx Express Saver®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",23.42
6,1,3,FedEx First Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",257.38
6,1,3,FedEx Priority Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",226.38
6,1,3,FedEx Standard Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",214.39
6,1,3,FedEx 2Day® A.M.,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",167.61
6,1,3,FedEx 2Day®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",126.66
6,1,3,FedEx Express Saver®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",110.88
7,1,3,FedEx First Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",439.35
7,1,3,FedEx Priority Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",408.04
7,1,3,FedEx Standard Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",399.96
7,1,3,FedEx 2Day® A.M.,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",304.01
7,1,3,FedEx 2Day®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",241.39
7,1,3,FedEx Express Saver®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",231.29
8,1,4,FedEx® Envelope,Package,up to 8 oz.,8.0
8,1,4,FedEx First Overnight®,Package,up to 8 oz.,83.52
8,1,4,FedEx Priority Overnight®,Package,up to 8 oz.,52.52
8,1,4,FedEx Standard Overnight®,Package,up to 8 oz.,49.82
8,1,4,FedEx 2Day® A.M.,Package,up to 8 oz.,31.06
8,1,4,FedEx 2Day®,Package,up to 8 oz.,27.42
8,1,4,FedEx Express Saver®,Package,up to 8 oz.,23.9
8,1,4,FedEx First Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",111.4
8,1,4,FedEx Priority Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",80.4
8,1,4,FedEx Standard Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",69.96
8,1,4,FedEx 2Day® A.M.,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",34.13
8,1,4,FedEx 2Day®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",27.42
8,1,4,FedEx Express Saver®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",23.9
9,1,4,FedEx First Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",449.41
9,1,4,FedEx Priority Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",418.41
9,1,4,FedEx Standard Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",400.14
9,1,4,FedEx 2Day® A.M.,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",211.28
9,1,4,FedEx 2Day®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",162.8
9,1,4,FedEx Express Saver®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",145.27
10,1,4,FedEx First Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",772.65
10,1,4,FedEx Priority Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",741.34
10,1,4,FedEx Standard Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",726.19
10,1,4,FedEx 2Day® A.M.,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",398.95
10,1,4,FedEx 2Day®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",311.08
10,1,4,FedEx Express Saver®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",296.94
11,1,5,FedEx® Envelope,Package,up to 8 oz.,8.0
11,1,5,FedEx First Overnight®,Package,up to 8 oz.,87.22
11,1,5,FedEx Priority Overnight®,Package,up to 8 oz.,56.22
11,1,5,FedEx Standard Overnight®,Package,up to 8 oz.,53.51
11,1,5,FedEx 2Day® A.M.,Package,up to 8 oz.,35.97
11,1,5,FedEx 2Day®,Package,up to 8 oz.,33.31
11,1,5,FedEx Express Saver®,Package,up to 8 oz.,29.88
11,1,5,FedEx First Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",119.9
11,1,5,FedEx Priority Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",88.9
11,1,5,FedEx Standard Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",77.51
11,1,5,FedEx 2Day® A.M.,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",40.93
11,1,5,FedEx 2Day®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",33.31
11,1,5,FedEx Express Saver®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",29.88
12,1,5,FedEx First Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",489.6
12,1,5,FedEx Priority Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",458.6
12,1,5,FedEx Standard Overnight®,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",441.13
12,1,5,FedEx 2Day® A.M.,Package,".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS",302.0
