row_id,service,zone,weight_lbs,packaging,rate_usd,page,source_line,source_text
1,2day_am,2,2,FedEx Envelope,15.00,1-2,25,2 15 106.16 75.16 70.66 51.98 4536 4022 B 66 255.64 224.64 199.61 16151 135.72 121.82
2,2day_am,2,2,FedEx Pak,106.16,1-2,25,2 15 106.16 75.16 70.66 51.98 4536 4022 B 66 255.64 224.64 199.61 16151 135.72 121.82
3,2day_am,2,2,FedEx Box,75.16,1-2,25,2 15 106.16 75.16 70.66 51.98 4536 4022 B 66 255.64 224.64 199.61 16151 135.72 121.82
4,2day_am,2,2,FedEx Tube,70.66,1-2,25,2 15 106.16 75.16 70.66 51.98 4536 4022 B 66 255.64 224.64 199.61 16151 135.72 121.82
5,2day_am,2,2,Your Packaging,51.98,1-2,25,2 15 106.16 75.16 70.66 51.98 4536 4022 B 66 255.64 224.64 199.61 16151 135.72 121.82
6,2day_am,2,21,FedEx Envelope,121.08,1-2,31,"21 121.08 90.08 83.87 65.01 55.67 49.65 R 272.20 241.20 218.75 173,00 147.16 129.97"
7,2day_am,2,21,FedEx Pak,90.08,1-2,31,"21 121.08 90.08 83.87 65.01 55.67 49.65 R 272.20 241.20 218.75 173,00 147.16 129.97"
8,2day_am,2,21,FedEx Box,83.87,1-2,31,"21 121.08 90.08 83.87 65.01 55.67 49.65 R 272.20 241.20 218.75 173,00 147.16 129.97"
9,2day_am,2,21,FedEx Tube,65.01,1-2,31,"21 121.08 90.08 83.87 65.01 55.67 49.65 R 272.20 241.20 218.75 173,00 147.16 129.97"
10,2day_am,2,21,Your Packaging,55.67,1-2,31,"21 121.08 90.08 83.87 65.01 55.67 49.65 R 272.20 241.20 218.75 173,00 147.16 129.97"
11,2day_am,2,22,FedEx Envelope,125.22,1-2,32,22 125.22 94.22 86.82 65.77 57.38 53.23 73 272.16 241.76 219.70 173.55 147.66 130.48
12,2day_am,2,22,FedEx Pak,94.22,1-2,32,22 125.22 94.22 86.82 65.77 57.38 53.23 73 272.16 241.76 219.70 173.55 147.66 130.48
13,2day_am,2,22,FedEx Box,86.82,1-2,32,22 125.22 94.22 86.82 65.77 57.38 53.23 73 272.16 241.76 219.70 173.55 147.66 130.48
14,2day_am,2,22,FedEx Tube,65.77,1-2,32,22 125.22 94.22 86.82 65.77 57.38 53.23 73 272.16 241.76 219.70 173.55 147.66 130.48
15,2day_am,2,22,Your Packaging,57.38,1-2,32,22 125.22 94.22 86.82 65.77 57.38 53.23 73 272.16 241.76 219.70 173.55 147.66 130.48
16,2day_am,2,23,FedEx Envelope,125.74,1-2,33,23 125.74 94.74 88.29 68.98 58.79 55.27 14 27334 24234 22056 17425 148.17 130.99
17,2day_am,2,23,FedEx Pak,94.74,1-2,33,23 125.74 94.74 88.29 68.98 58.79 55.27 14 27334 24234 22056 17425 148.17 130.99
18,2day_am,2,23,FedEx Box,88.29,1-2,33,23 125.74 94.74 88.29 68.98 58.79 55.27 14 27334 24234 22056 17425 148.17 130.99
19,2day_am,2,23,FedEx Tube,68.98,1-2,33,23 125.74 94.74 88.29 68.98 58.79 55.27 14 27334 24234 22056 17425 148.17 130.99
20,2day_am,2,23,Your Packaging,58.79,1-2,33,23 125.74 94.74 88.29 68.98 58.79 55.27 14 27334 24234 22056 17425 148.17 130.99
21,2day_am,2,25,FedEx Envelope,128.75,1-2,35,25 128.75 97.15 91.73 71.91 62.08 55.79 76 276.23 245.23 234.36 187.85 152.03 133.79
22,2day_am,2,25,FedEx Pak,97.15,1-2,35,25 128.75 97.15 91.73 71.91 62.08 55.79 76 276.23 245.23 234.36 187.85 152.03 133.79
23,2day_am,2,25,FedEx Box,91.73,1-2,35,25 128.75 97.15 91.73 71.91 62.08 55.79 76 276.23 245.23 234.36 187.85 152.03 133.79
24,2day_am,2,25,FedEx Tube,71.91,1-2,35,25 128.75 97.15 91.73 71.91 62.08 55.79 76 276.23 245.23 234.36 187.85 152.03 133.79
25,2day_am,2,25,Your Packaging,62.08,1-2,35,25 128.75 97.15 91.73 71.91 62.08 55.79 76 276.23 245.23 234.36 187.85 152.03 133.79
26,2day_am,2,29,FedEx Envelope,138.08,1-2,39,29 138.08 107.08 98.45 81.09 69.88 65.13 80 279.64 248.64 241.60 192.55 156.47 137.95
27,2day_am,2,29,FedEx Pak,107.08,1-2,39,29 138.08 107.08 98.45 81.09 69.88 65.13 80 279.64 248.64 241.60 192.55 156.47 137.95
28,2day_am,2,29,FedEx Box,98.45,1-2,39,29 138.08 107.08 98.45 81.09 69.88 65.13 80 279.64 248.64 241.60 192.55 156.47 137.95
29,2day_am,2,29,FedEx Tube,81.09,1-2,39,29 138.08 107.08 98.45 81.09 69.88 65.13 80 279.64 248.64 241.60 192.55 156.47 137.95
30,2day_am,2,29,Your Packaging,69.88,1-2,39,29 138.08 107.08 98.45 81.09 69.88 65.13 80 279.64 248.64 241.60 192.55 156.47 137.95
31,2day_am,2,31,FedEx Envelope,142.67,1-2,41,31 142.67 111.67 104.85 84.11 70.43 67.49 82 301.78 270.78 258.80 195.05 163.46 143.93
32,2day_am,2,31,FedEx Pak,111.67,1-2,41,31 142.67 111.67 104.85 84.11 70.43 67.49 82 301.78 270.78 258.80 195.05 163.46 143.93
33,2day_am,2,31,FedEx Box,104.85,1-2,41,31 142.67 111.67 104.85 84.11 70.43 67.49 82 301.78 270.78 258.80 195.05 163.46 143.93
34,2day_am,2,31,FedEx Tube,84.11,1-2,41,31 142.67 111.67 104.85 84.11 70.43 67.49 82 301.78 270.78 258.80 195.05 163.46 143.93
35,2day_am,2,31,Your Packaging,70.43,1-2,41,31 142.67 111.67 104.85 84.11 70.43 67.49 82 301.78 270.78 258.80 195.05 163.46 143.93
36,2day_am,2,33,FedEx Envelope,148.60,1-2,43,33 148.60 117.60 109.39 87.75 76.58 7161 84 304.04 273.04 261.48 202.25 166.78 146.01
37,2day_am,2,33,FedEx Pak,117.60,1-2,43,33 148.60 117.60 109.39 87.75 76.58 7161 84 304.04 273.04 261.48 202.25 166.78 146.01
38,2day_am,2,33,FedEx Box,109.39,1-2,43,33 148.60 117.60 109.39 87.75 76.58 7161 84 304.04 273.04 261.48 202.25 166.78 146.01
