row_id,service,zone,weight_lbs,packaging,rate_usd,page,source_row,source_data,extraction_method
1,2day,2,100,FedEx Envelope,320.00,pdf_page_3,12,"['', '100', '320.00', '289.00', '283.00', '240.00', '191.00', '178.00']",pdfplumber
2,2day,2,100,FedEx Pak,289.00,pdf_page_3,12,"['', '100', '320.00', '289.00', '283.00', '240.00', '191.00', '178.00']",pdfplumber
3,2day,2,100,FedEx Box,283.00,pdf_page_3,12,"['', '100', '320.00', '289.00', '283.00', '240.00', '191.00', '178.00']",pdfplumber
4,2day,2,100,FedEx Tube,240.00,pdf_page_3,12,"['', '100', '320.00', '289.00', '283.00', '240.00', '191.00', '178.00']",pdfplumber
5,2day,2,100,Your Packaging,191.00,pdf_page_3,12,"['', '100', '320.00', '289.00', '283.00', '240.00', '191.00', '178.00']",pdfplumber
6,2day,3,100,FedEx Envelope,435.00,pdf_page_6,12,"['', '100', '435.00', '404.00', '396.00', '301.00', '239.00', '229.00']",pdfplumber
7,2day,3,100,FedEx Pak,404.00,pdf_page_6,12,"['', '100', '435.00', '404.00', '396.00', '301.00', '239.00', '229.00']",pdfplumber
8,2day,3,100,FedEx Box,396.00,pdf_page_6,12,"['', '100', '435.00', '404.00', '396.00', '301.00', '239.00', '229.00']",pdfplumber
9,2day,3,100,FedEx Tube,301.00,pdf_page_6,12,"['', '100', '435.00', '404.00', '396.00', '301.00', '239.00', '229.00']",pdfplumber
10,2day,3,100,Your Packaging,239.00,pdf_page_6,12,"['', '100', '435.00', '404.00', '396.00', '301.00', '239.00', '229.00']",pdfplumber
11,2day,4,100,FedEx Envelope,765.00,pdf_page_9,12,"['', '100', '765.00', '734.00', '719.00', '395.00', '308.00', '294.00']",pdfplumber
12,2day,4,100,FedEx Pak,734.00,pdf_page_9,12,"['', '100', '765.00', '734.00', '719.00', '395.00', '308.00', '294.00']",pdfplumber
13,2day,4,100,FedEx Box,719.00,pdf_page_9,12,"['', '100', '765.00', '734.00', '719.00', '395.00', '308.00', '294.00']",pdfplumber
14,2day,4,100,FedEx Tube,395.00,pdf_page_9,12,"['', '100', '765.00', '734.00', '719.00', '395.00', '308.00', '294.00']",pdfplumber
15,2day,4,100,Your Packaging,308.00,pdf_page_9,12,"['', '100', '765.00', '734.00', '719.00', '395.00', '308.00', '294.00']",pdfplumber
16,2day,5,100,FedEx Envelope,907.00,pdf_page_12,12,"['', '100', '907.00', '876.00', '858.00', '586.00', '458.00', '406.00']",pdfplumber
17,2day,5,100,FedEx Pak,876.00,pdf_page_12,12,"['', '100', '907.00', '876.00', '858.00', '586.00', '458.00', '406.00']",pdfplumber
18,2day,5,100,FedEx Box,858.00,pdf_page_12,12,"['', '100', '907.00', '876.00', '858.00', '586.00', '458.00', '406.00']",pdfplumber
19,2day,5,100,FedEx Tube,586.00,pdf_page_12,12,"['', '100', '907.00', '876.00', '858.00', '586.00', '458.00', '406.00']",pdfplumber
20,2day,5,100,Your Packaging,458.00,pdf_page_12,12,"['', '100', '907.00', '876.00', '858.00', '586.00', '458.00', '406.00']",pdfplumber
21,2day,6,100,FedEx Envelope,925.00,pdf_page_15,12,"['', '100', '925.00', '894.00', '876.00', '871.00', '727.00', '568.00']",pdfplumber
22,2day,6,100,FedEx Pak,894.00,pdf_page_15,12,"['', '100', '925.00', '894.00', '876.00', '871.00', '727.00', '568.00']",pdfplumber
23,2day,6,100,FedEx Box,876.00,pdf_page_15,12,"['', '100', '925.00', '894.00', '876.00', '871.00', '727.00', '568.00']",pdfplumber
24,2day,6,100,FedEx Tube,871.00,pdf_page_15,12,"['', '100', '925.00', '894.00', '876.00', '871.00', '727.00', '568.00']",pdfplumber
25,2day,6,100,Your Packaging,727.00,pdf_page_15,12,"['', '100', '925.00', '894.00', '876.00', '871.00', '727.00', '568.00']",pdfplumber
26,2day,2,100,FedEx Envelope,874.00,pdf_page_29,14,"['', '100', '874.00', '843.00', '698.00', '499.00', '388.00']",pdfplumber
27,2day,2,100,FedEx Pak,843.00,pdf_page_29,14,"['', '100', '874.00', '843.00', '698.00', '499.00', '388.00']",pdfplumber
28,2day,2,100,FedEx Box,698.00,pdf_page_29,14,"['', '100', '874.00', '843.00', '698.00', '499.00', '388.00']",pdfplumber
29,2day,2,100,FedEx Tube,499.00,pdf_page_29,14,"['', '100', '874.00', '843.00', '698.00', '499.00', '388.00']",pdfplumber
30,2day,2,100,Your Packaging,388.00,pdf_page_29,14,"['', '100', '874.00', '843.00', '698.00', '499.00', '388.00']",pdfplumber
31,ground,2,2,FedEx Envelope,12.08,pdf_page_106,4,"['', '2 lbs.', '12.08', '13.32', '14.53', '14.84', '15.49', '16.13', '16.40']",pdfplumber
32,ground,2,2,FedEx Pak,13.32,pdf_page_106,4,"['', '2 lbs.', '12.08', '13.32', '14.53', '14.84', '15.49', '16.13', '16.40']",pdfplumber
33,ground,2,2,FedEx Box,14.53,pdf_page_106,4,"['', '2 lbs.', '12.08', '13.32', '14.53', '14.84', '15.49', '16.13', '16.40']",pdfplumber
34,ground,2,2,FedEx Tube,14.84,pdf_page_106,4,"['', '2 lbs.', '12.08', '13.32', '14.53', '14.84', '15.49', '16.13', '16.40']",pdfplumber
35,ground,2,2,Your Packaging,15.49,pdf_page_106,4,"['', '2 lbs.', '12.08', '13.32', '14.53', '14.84', '15.49', '16.13', '16.40']",pdfplumber
36,home_delivery,2,2,FedEx Envelope,12.08,pdf_page_106,4,"['', '2 lbs.', '12.08', '13.32', '14.53', '14.84', '15.49', '16.13', '16.40']",pdfplumber
37,home_delivery,2,2,FedEx Pak,13.32,pdf_page_106,4,"['', '2 lbs.', '12.08', '13.32', '14.53', '14.84', '15.49', '16.13', '16.40']",pdfplumber
38,home_delivery,2,2,FedEx Box,14.53,pdf_page_106,4,"['', '2 lbs.', '12.08', '13.32', '14.53', '14.84', '15.49', '16.13', '16.40']",pdfplumber
39,home_delivery,2,2,FedEx Tube,14.84,pdf_page_106,4,"['', '2 lbs.', '12.08', '13.32', '14.53', '14.84', '15.49', '16.13', '16.40']",pdfplumber
40,home_delivery,2,2,Your Packaging,15.49,pdf_page_106,4,"['', '2 lbs.', '12.08', '13.32', '14.53', '14.84', '15.49', '16.13', '16.40']",pdfplumber
41,ground,2,3,FedEx Envelope,12.57,pdf_page_106,5,"['', '3', '12.57', '14.03', '15.16', '15.93', '16.58', '17.20', '18.05']",pdfplumber
42,ground,2,3,FedEx Pak,14.03,pdf_page_106,5,"['', '3', '12.57', '14.03', '15.16', '15.93', '16.58', '17.20', '18.05']",pdfplumber
43,ground,2,3,FedEx Box,15.16,pdf_page_106,5,"['', '3', '12.57', '14.03', '15.16', '15.93', '16.58', '17.20', '18.05']",pdfplumber
44,ground,2,3,FedEx Tube,15.93,pdf_page_106,5,"['', '3', '12.57', '14.03', '15.16', '15.93', '16.58', '17.20', '18.05']",pdfplumber
45,ground,2,3,Your Packaging,16.58,pdf_page_106,5,"['', '3', '12.57', '14.03', '15.16', '15.93', '16.58', '17.20', '18.05']",pdfplumber
46,home_delivery,2,3,FedEx Envelope,12.57,pdf_page_106,5,"['', '3', '12.57', '14.03', '15.16', '15.93', '16.58', '17.20', '18.05']",pdfplumber
47,home_delivery,2,3,FedEx Pak,14.03,pdf_page_106,5,"['', '3', '12.57', '14.03', '15.16', '15.93', '16.58', '17.20', '18.05']",pdfplumber
48,home_delivery,2,3,FedEx Box,15.16,pdf_page_106,5,"['', '3', '12.57', '14.03', '15.16', '15.93', '16.58', '17.20', '18.05']",pdfplumber
49,home_delivery,2,3,FedEx Tube,15.93,pdf_page_106,5,"['', '3', '12.57', '14.03', '15.16', '15.93', '16.58', '17.20', '18.05']",pdfplumber
50,home_delivery,2,3,Your Packaging,16.58,pdf_page_106,5,"['', '3', '12.57', '14.03', '15.16', '15.93', '16.58', '17.20', '18.05']",pdfplumber
51,ground,2,4,FedEx Envelope,12.94,pdf_page_106,6,"['', '4', '12.94', '14.11', '15.78', '16.81', '17.27', '18.47', '19.34']",pdfplumber
52,ground,2,4,FedEx Pak,14.11,pdf_page_106,6,"['', '4', '12.94', '14.11', '15.78', '16.81', '17.27', '18.47', '19.34']",pdfplumber
53,ground,2,4,FedEx Box,15.78,pdf_page_106,6,"['', '4', '12.94', '14.11', '15.78', '16.81', '17.27', '18.47', '19.34']",pdfplumber
54,ground,2,4,FedEx Tube,16.81,pdf_page_106,6,"['', '4', '12.94', '14.11', '15.78', '16.81', '17.27', '18.47', '19.34']",pdfplumber
55,ground,2,4,Your Packaging,17.27,pdf_page_106,6,"['', '4', '12.94', '14.11', '15.78', '16.81', '17.27', '18.47', '19.34']",pdfplumber
56,home_delivery,2,4,FedEx Envelope,12.94,pdf_page_106,6,"['', '4', '12.94', '14.11', '15.78', '16.81', '17.27', '18.47', '19.34']",pdfplumber
57,home_delivery,2,4,FedEx Pak,14.11,pdf_page_106,6,"['', '4', '12.94', '14.11', '15.78', '16.81', '17.27', '18.47', '19.34']",pdfplumber
58,home_delivery,2,4,FedEx Box,15.78,pdf_page_106,6,"['', '4', '12.94', '14.11', '15.78', '16.81', '17.27', '18.47', '19.34']",pdfplumber
59,home_delivery,2,4,FedEx Tube,16.81,pdf_page_106,6,"['', '4', '12.94', '14.11', '15.78', '16.81', '17.27', '18.47', '19.34']",pdfplumber
60,home_delivery,2,4,Your Packaging,17.27,pdf_page_106,6,"['', '4', '12.94', '14.11', '15.78', '16.81', '17.27', '18.47', '19.34']",pdfplumber
61,ground,2,5,FedEx Envelope,13.29,pdf_page_106,7,"['', '5', '13.29', '14.76', '16.17', '17.56', '18.26', '19.33', '20.48']",pdfplumber
62,ground,2,5,FedEx Pak,14.76,pdf_page_106,7,"['', '5', '13.29', '14.76', '16.17', '17.56', '18.26', '19.33', '20.48']",pdfplumber
63,ground,2,5,FedEx Box,16.17,pdf_page_106,7,"['', '5', '13.29', '14.76', '16.17', '17.56', '18.26', '19.33', '20.48']",pdfplumber
64,ground,2,5,FedEx Tube,17.56,pdf_page_106,7,"['', '5', '13.29', '14.76', '16.17', '17.56', '18.26', '19.33', '20.48']",pdfplumber
65,ground,2,5,Your Packaging,18.26,pdf_page_106,7,"['', '5', '13.29', '14.76', '16.17', '17.56', '18.26', '19.33', '20.48']",pdfplumber
66,home_delivery,2,5,FedEx Envelope,13.29,pdf_page_106,7,"['', '5', '13.29', '14.76', '16.17', '17.56', '18.26', '19.33', '20.48']",pdfplumber
67,home_delivery,2,5,FedEx Pak,14.76,pdf_page_106,7,"['', '5', '13.29', '14.76', '16.17', '17.56', '18.26', '19.33', '20.48']",pdfplumber
68,home_delivery,2,5,FedEx Box,16.17,pdf_page_106,7,"['', '5', '13.29', '14.76', '16.17', '17.56', '18.26', '19.33', '20.48']",pdfplumber
69,home_delivery,2,5,FedEx Tube,17.56,pdf_page_106,7,"['', '5', '13.29', '14.76', '16.17', '17.56', '18.26', '19.33', '20.48']",pdfplumber
70,home_delivery,2,5,Your Packaging,18.26,pdf_page_106,7,"['', '5', '13.29', '14.76', '16.17', '17.56', '18.26', '19.33', '20.48']",pdfplumber
71,ground,2,11,FedEx Envelope,15.92,pdf_page_106,9,"['', '11', '15.92', '16.56', '18.17', '19.71', '20.91', '24.66', '26.79']",pdfplumber
72,ground,2,11,FedEx Pak,16.56,pdf_page_106,9,"['', '11', '15.92', '16.56', '18.17', '19.71', '20.91', '24.66', '26.79']",pdfplumber
73,ground,2,11,FedEx Box,18.17,pdf_page_106,9,"['', '11', '15.92', '16.56', '18.17', '19.71', '20.91', '24.66', '26.79']",pdfplumber
74,ground,2,11,FedEx Tube,19.71,pdf_page_106,9,"['', '11', '15.92', '16.56', '18.17', '19.71', '20.91', '24.66', '26.79']",pdfplumber
75,ground,2,11,Your Packaging,20.91,pdf_page_106,9,"['', '11', '15.92', '16.56', '18.17', '19.71', '20.91', '24.66', '26.79']",pdfplumber
76,home_delivery,2,11,FedEx Envelope,15.92,pdf_page_106,9,"['', '11', '15.92', '16.56', '18.17', '19.71', '20.91', '24.66', '26.79']",pdfplumber
77,home_delivery,2,11,FedEx Pak,16.56,pdf_page_106,9,"['', '11', '15.92', '16.56', '18.17', '19.71', '20.91', '24.66', '26.79']",pdfplumber
78,home_delivery,2,11,FedEx Box,18.17,pdf_page_106,9,"['', '11', '15.92', '16.56', '18.17', '19.71', '20.91', '24.66', '26.79']",pdfplumber
79,home_delivery,2,11,FedEx Tube,19.71,pdf_page_106,9,"['', '11', '15.92', '16.56', '18.17', '19.71', '20.91', '24.66', '26.79']",pdfplumber
80,home_delivery,2,11,Your Packaging,20.91,pdf_page_106,9,"['', '11', '15.92', '16.56', '18.17', '19.71', '20.91', '24.66', '26.79']",pdfplumber
81,ground,2,12,FedEx Envelope,16.18,pdf_page_106,10,"['', '12', '16.18', '17.26', '18.35', '19.99', '21.64', '25.65', '28.04']",pdfplumber
82,ground,2,12,FedEx Pak,17.26,pdf_page_106,10,"['', '12', '16.18', '17.26', '18.35', '19.99', '21.64', '25.65', '28.04']",pdfplumber
83,ground,2,12,FedEx Box,18.35,pdf_page_106,10,"['', '12', '16.18', '17.26', '18.35', '19.99', '21.64', '25.65', '28.04']",pdfplumber
84,ground,2,12,FedEx Tube,19.99,pdf_page_106,10,"['', '12', '16.18', '17.26', '18.35', '19.99', '21.64', '25.65', '28.04']",pdfplumber
85,ground,2,12,Your Packaging,21.64,pdf_page_106,10,"['', '12', '16.18', '17.26', '18.35', '19.99', '21.64', '25.65', '28.04']",pdfplumber
86,home_delivery,2,12,FedEx Envelope,16.18,pdf_page_106,10,"['', '12', '16.18', '17.26', '18.35', '19.99', '21.64', '25.65', '28.04']",pdfplumber
87,home_delivery,2,12,FedEx Pak,17.26,pdf_page_106,10,"['', '12', '16.18', '17.26', '18.35', '19.99', '21.64', '25.65', '28.04']",pdfplumber
88,home_delivery,2,12,FedEx Box,18.35,pdf_page_106,10,"['', '12', '16.18', '17.26', '18.35', '19.99', '21.64', '25.65', '28.04']",pdfplumber
89,home_delivery,2,12,FedEx Tube,19.99,pdf_page_106,10,"['', '12', '16.18', '17.26', '18.35', '19.99', '21.64', '25.65', '28.04']",pdfplumber
90,home_delivery,2,12,Your Packaging,21.64,pdf_page_106,10,"['', '12', '16.18', '17.26', '18.35', '19.99', '21.64', '25.65', '28.04']",pdfplumber
91,ground,2,13,FedEx Envelope,16.19,pdf_page_106,11,"['', '13', '16.19', '17.34', '18.56', '20.37', '22.31', '27.22', '29.31']",pdfplumber
92,ground,2,13,FedEx Pak,17.34,pdf_page_106,11,"['', '13', '16.19', '17.34', '18.56', '20.37', '22.31', '27.22', '29.31']",pdfplumber
93,ground,2,13,FedEx Box,18.56,pdf_page_106,11,"['', '13', '16.19', '17.34', '18.56', '20.37', '22.31', '27.22', '29.31']",pdfplumber
94,ground,2,13,FedEx Tube,20.37,pdf_page_106,11,"['', '13', '16.19', '17.34', '18.56', '20.37', '22.31', '27.22', '29.31']",pdfplumber
95,ground,2,13,Your Packaging,22.31,pdf_page_106,11,"['', '13', '16.19', '17.34', '18.56', '20.37', '22.31', '27.22', '29.31']",pdfplumber
96,home_delivery,2,13,FedEx Envelope,16.19,pdf_page_106,11,"['', '13', '16.19', '17.34', '18.56', '20.37', '22.31', '27.22', '29.31']",pdfplumber
97,home_delivery,2,13,FedEx Pak,17.34,pdf_page_106,11,"['', '13', '16.19', '17.34', '18.56', '20.37', '22.31', '27.22', '29.31']",pdfplumber
98,home_delivery,2,13,FedEx Box,18.56,pdf_page_106,11,"['', '13', '16.19', '17.34', '18.56', '20.37', '22.31', '27.22', '29.31']",pdfplumber
99,home_delivery,2,13,FedEx Tube,20.37,pdf_page_106,11,"['', '13', '16.19', '17.34', '18.56', '20.37', '22.31', '27.22', '29.31']",pdfplumber
100,home_delivery,2,13,Your Packaging,22.31,pdf_page_106,11,"['', '13', '16.19', '17.34', '18.56', '20.37', '22.31', '27.22', '29.31']",pdfplumber
101,ground,2,14,FedEx Envelope,16.86,pdf_page_106,12,"['', '14', '16.86', '17.81', '18.75', '20.87', '23.62', '29.16', '31.87']",pdfplumber
102,ground,2,14,FedEx Pak,17.81,pdf_page_106,12,"['', '14', '16.86', '17.81', '18.75', '20.87', '23.62', '29.16', '31.87']",pdfplumber
103,ground,2,14,FedEx Box,18.75,pdf_page_106,12,"['', '14', '16.86', '17.81', '18.75', '20.87', '23.62', '29.16', '31.87']",pdfplumber
104,ground,2,14,FedEx Tube,20.87,pdf_page_106,12,"['', '14', '16.86', '17.81', '18.75', '20.87', '23.62', '29.16', '31.87']",pdfplumber
105,ground,2,14,Your Packaging,23.62,pdf_page_106,12,"['', '14', '16.86', '17.81', '18.75', '20.87', '23.62', '29.16', '31.87']",pdfplumber
106,home_delivery,2,14,FedEx Envelope,16.86,pdf_page_106,12,"['', '14', '16.86', '17.81', '18.75', '20.87', '23.62', '29.16', '31.87']",pdfplumber
107,home_delivery,2,14,FedEx Pak,17.81,pdf_page_106,12,"['', '14', '16.86', '17.81', '18.75', '20.87', '23.62', '29.16', '31.87']",pdfplumber
108,home_delivery,2,14,FedEx Box,18.75,pdf_page_106,12,"['', '14', '16.86', '17.81', '18.75', '20.87', '23.62', '29.16', '31.87']",pdfplumber
109,home_delivery,2,14,FedEx Tube,20.87,pdf_page_106,12,"['', '14', '16.86', '17.81', '18.75', '20.87', '23.62', '29.16', '31.87']",pdfplumber
110,home_delivery,2,14,Your Packaging,23.62,pdf_page_106,12,"['', '14', '16.86', '17.81', '18.75', '20.87', '23.62', '29.16', '31.87']",pdfplumber
111,ground,2,15,FedEx Envelope,16.87,pdf_page_106,13,"['', '15', '16.87', '18.20', '19.01', '21.61', '24.92', '30.07', '33.18']",pdfplumber
112,ground,2,15,FedEx Pak,18.20,pdf_page_106,13,"['', '15', '16.87', '18.20', '19.01', '21.61', '24.92', '30.07', '33.18']",pdfplumber
113,ground,2,15,FedEx Box,19.01,pdf_page_106,13,"['', '15', '16.87', '18.20', '19.01', '21.61', '24.92', '30.07', '33.18']",pdfplumber
114,ground,2,15,FedEx Tube,21.61,pdf_page_106,13,"['', '15', '16.87', '18.20', '19.01', '21.61', '24.92', '30.07', '33.18']",pdfplumber
115,ground,2,15,Your Packaging,24.92,pdf_page_106,13,"['', '15', '16.87', '18.20', '19.01', '21.61', '24.92', '30.07', '33.18']",pdfplumber
116,home_delivery,2,15,FedEx Envelope,16.87,pdf_page_106,13,"['', '15', '16.87', '18.20', '19.01', '21.61', '24.92', '30.07', '33.18']",pdfplumber
117,home_delivery,2,15,FedEx Pak,18.20,pdf_page_106,13,"['', '15', '16.87', '18.20', '19.01', '21.61', '24.92', '30.07', '33.18']",pdfplumber
118,home_delivery,2,15,FedEx Box,19.01,pdf_page_106,13,"['', '15', '16.87', '18.20', '19.01', '21.61', '24.92', '30.07', '33.18']",pdfplumber
119,home_delivery,2,15,FedEx Tube,21.61,pdf_page_106,13,"['', '15', '16.87', '18.20', '19.01', '21.61', '24.92', '30.07', '33.18']",pdfplumber
120,home_delivery,2,15,Your Packaging,24.92,pdf_page_106,13,"['', '15', '16.87', '18.20', '19.01', '21.61', '24.92', '30.07', '33.18']",pdfplumber
