Zone,Weight (lbs),First Overnight,Priority Overnight,Standard Overnight,2Day A.M.,2Day,Express Saver
2,up to 8 oz.,,65.71,34.71,33.30,27.21,25.23
2,Fed,,,,,,
2,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,1lb. 2 lbs. 3 4 5,73.31 73.87 77.77 82.02 82.45,42.31 42.87 46.77 51.02 51.45,38.55 41.12 44.68 48.20 49.06,28.72 29.22 29.71 30.59 31.48,25.23 26.26 26.68 27.50 28.33
2,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,50lbs. 51 52 53 54,189.62 207.51 210.19 212.15 212.70,158.62 176.51 179.19 181.15 181.70,149.32 151.44 154.48 157.30 159.35,122.81 129.81 138.69 139.58 140.19,103.46 104.42 111.79 114.03 115.64
2,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,101lbs. 102 103 104 105,323.20 326.40 329.60 332.80 336.00,291.89 294.78 297.67 300.56 303.45,285.83 288.66 291.49 294.32 297.15,242.40 244.80 247.20 249.60 252.00,192.91 194.82 196.73 198.64 200.55
3,up to 8 oz.,,72.68,41.68,40.44,29.48,26.30
3,Fed,,,,,,
3,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,1lb. 2 lbs. 3 4 5,93.71 94.09 100.97 102.44 102.87,62.71 63.09 69.97 71.44 71.87,53.04 56.76 60.03 63.65 64.20,31.15 31.77 32.81 33.94 35.07,26.30 27.59 28.48 29.48 30.43
3,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,50lbs. 51 52 53 54,257.38 282.59 295.76 297.09 297.65,226.38 251.59 264.76 266.09 266.65,214.39 214.79 222.01 222.74 231.15,167.61 169.92 176.09 176.71 180.67,126.66 127.21 134.04 136.76 138.42
3,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,101lbs. 102 103 104 105,439.35 443.70 448.05 452.40 456.75,408.04 412.08 416.12 420.16 424.20,399.96 403.92 407.88 411.84 415.80,304.01 307.02 310.03 313.04 316.05,241.39 243.78 246.17 248.56 250.95
4,up to 8 oz.,,83.52,52.52,49.82,31.06,27.42
4,Fed,,,,,,
4,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,1lb. 2 lbs. 3 4 5,111.40 118.79 128.23 139.75 142.05,80.40 87.79 97.23 108.75 111.05,69.96 80.46 89.23 95.77 102.83,34.13 34.44 36.47 39.50 43.88,27.42 28.48 30.16 32.65 35.49
4,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,50lbs. 51 52 53 54,449.41 482.61 515.01 518.25 518.77,418.41 451.61 484.01 487.25 487.77,400.14 417.73 454.61 458.30 469.16,211.28 214.73 219.59 230.81 231.95,162.80 166.41 171.75 174.17 176.89
4,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,101lbs. 102 103 104 105,772.65 780.30 787.95 795.60 803.25,741.34 748.68 756.02 763.36 770.70,726.19 733.38 740.57 747.76 754.95,398.95 402.90 406.85 410.80 414.75,311.08 314.16 317.24 320.32 323.40
5,up to 8 oz.,,87.22,56.22,53.51,35.97,33.31
5,Fed,,,,,,
5,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,1lb. 2 lbs. 3 4 5,119.90 126.45 140.09 150.46 151.53,88.90 95.45 109.09 119.46 120.53,77.51 87.44 96.87 105.18 115.43,40.93 43.63 48.05 56.12 62.31,33.31 36.19 39.85 46.52 51.70
5,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,50lbs. 51 52 53 54,489.60 533.77 543.62 553.71 554.73,458.60 502.77 512.62 522.71 523.73,441.13 477.59 487.34 503.79 505.44,302.00 312.82 313.93 314.66 329.11,234.54 243.39 256.78 258.67 259.28
5,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,101lbs. 102 103 104 105,916.07 925.14 934.21 943.28 952.35,884.76 893.52 902.28 911.04 919.80,866.58 875.16 883.74 892.32 900.90,591.86 597.72 603.58 609.44 615.30,462.58 467.16 471.74 476.32 480.90
6,up to 8 oz.,,88.35,57.35,54.59,40.85,40.01
6,Fed,,,,,,
6,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,1lb. 2 lbs. 3 4 5,124.59 129.30 148.31 154.81 155.96,93.59 98.30 117.31 123.81 124.96,84.01 96.37 103.36 116.03 119.73,46.49 51.44 59.10 68.30 76.27,40.01 45.11 51.83 59.88 66.89
6,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,50lbs. 51 52 53 54,503.34 543.94 562.78 564.67 565.21,472.34 512.94 531.78 533.67 534.21,454.93 494.68 506.30 515.05 515.93,452.73 479.91 486.38 487.04 487.64,391.89 412.28 418.55 419.19 420.10
6,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,101lbs. 102 103 104 105,934.25 943.50 952.75 962.00 971.25,902.94 911.88 920.82 929.76 938.70,884.76 893.52 902.28 911.04 919.80,879.71 888.42 897.13 905.84 914.55,734.27 741.54 748.81 756.08 763.35
7,up to 8 oz.,,94.70,63.70,59.82,45.58,42.67
7,Fed,,,,,,
7,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,1lb. 2 lbs. 3 4 5,134.80 141.68 159.81 170.90 172.84,103.80 110.68 128.81 139.90 141.84,91.30 104.58 114.01 124.08 128.00,49.62 57.18 66.21 77.04 85.81,42.67 50.07 58.00 66.24 73.79
7,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,50lbs. 51 52 53 54,540.79 582.56 607.68 624.50 626.19,509.79 551.56 576.68 593.50 595.19,492.53 536.56 548.33 552.32 564.72,481.84 508.26 517.15 524.75 525.51,409.01 422.06 452.17 456.79 457.36
7,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,101lbs. 102 103 104 105,"1,137.26 1,148.52 1,159.78 1,171.04 1,182.30","1,105.95 1,116.90 1,127.85 1,138.80 1,149.75","1,062.52 1,073.04 1,083.56 1,094.08 1,104.60",956.47 965.94 975.41 984.88 994.35,838.30 846.60 854.90 863.20 871.50
8,up to 8 oz.,,97.62,66.62,62.56,46.52,43.54
8,Fed,,,,,,
8,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,1lb. 2 lbs. 3 4 5,137.55 153.02 164.39 176.16 177.36,106.55 122.02 133.39 145.16 146.36,95.35 110.55 120.84 132.30 135.21,50.70 60.23 70.38 80.09 91.12,43.54 52.69 60.45 68.81 78.29
8,.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,50lbs. 51 52 53 54,569.55 593.62 633.52 637.51 638.10,538.55 562.62 602.52 606.51 607.10,521.40 547.30 586.77 591.51 592.09,491.49 521.66 536.75 538.26 546.04,417.20 430.51 462.70 465.93 466.52
